Date,Team1,Team2,City
1/13/2017,Australia,Pakistan,Brisbane
1/15/2017,Australia,Pakistan,
1/19/2017,Australia,Pakistan,Perth
1/22/2017,Australia,Pakistan,
1/26/2017,Australia,Pakistan,
12/4/2016,Australia,New Zealand,
12/6/2016,Australia,New Zealand,Canberra
12/9/2016,Australia,New Zealand,
7/4/2016,Scotland,Afghanistan,Edinburgh
7/6/2016,Scotland,Afghanistan,Edinburgh
10/21/2016,Papua New Guinea,Namibia,Port Moresby
10/23/2016,Papua New Guinea,Namibia,Port Moresby
8/13/2016,Netherlands,Nepal,Amstelveen
11/20/2016,Kenya,Hong Kong,Nairobi
9/8/2016,Scotland,Hong Kong,Edinburgh
9/10/2016,Scotland,Hong Kong,Edinburgh
6/11/2016,Zimbabwe,India,
6/13/2016,Zimbabwe,India,
6/15/2016,Zimbabwe,India,
5/28/2016,Papua New Guinea,Kenya,Port Moresby
5/30/2016,Papua New Guinea,Kenya,Port Moresby
12/26/2016,New Zealand,Bangladesh,Christchurch
12/29/2016,New Zealand,Bangladesh,Nelson
12/31/2016,New Zealand,Bangladesh,Nelson
1/30/2017,New Zealand,Australia,Auckland
2/19/2017,New Zealand,South Africa,Hamilton
2/22/2017,New Zealand,South Africa,Christchurch
2/25/2017,New Zealand,South Africa,Wellington
3/1/2017,New Zealand,South Africa,Hamilton
3/4/2017,New Zealand,South Africa,Auckland
6/1/2017,England,Bangladesh,London
6/2/2017,Australia,New Zealand,Birmingham
6/3/2017,South Africa,Sri Lanka,London
6/4/2017,India,Pakistan,Birmingham
6/5/2017,Australia,Bangladesh,London
6/6/2017,England,New Zealand,Cardiff
6/7/2017,Pakistan,South Africa,Birmingham
6/8/2017,India,Sri Lanka,London
6/9/2017,Bangladesh,New Zealand,Cardiff
6/10/2017,England,Australia,Birmingham
6/11/2017,India,South Africa,London
6/12/2017,Pakistan,Sri Lanka,Cardiff
6/14/2017,England,Pakistan,Cardiff
6/18/2017,India,Pakistan,London
12/21/2016,Adelaide Strikers,Brisbane Heat,
12/23/2016,Perth Scorchers,Adelaide Strikers,Perth
12/28/2016,Sydney Thunder,Brisbane Heat,
12/30/2016,Brisbane Heat,Hobart Hurricanes,Brisbane
1/4/2017,Sydney Thunder,Melbourne Stars,
1/14/2017,Sydney Sixers,Sydney Thunder,
1/17/2017,Melbourne Stars,Brisbane Heat,
1/20/2017,Brisbane Heat,Melbourne Renegades,Brisbane
1/28/2017,Perth Scorchers,Sydney Sixers,Perth
11/4/2016,Hong Kong,Papua New Guinea,Hong Kong
11/6/2016,Hong Kong,Papua New Guinea,Hong Kong
11/8/2016,Hong Kong,Papua New Guinea,Hong Kong
3/3/2017,West Indies,England,Antigua
